,img_name,text
0,20140603_0003_BCCTC_tg_0_1.png,Đã bao giờ bạn tự hỏi thành công là gì mà bao kẻ bỏ cả cuộc đời mình theo đuổi? Phải
1,20140603_0003_BCCTC_tg_0_2.png,"chăng đó là kết quả hoàn hảo trong công việc, sự chính xác đến từng chi tiết? Hay đó"
2,20140603_0003_BCCTC_tg_0_3.png,"là cách nói khác của từ thành đạt, nghĩa là có được một cuộc sống giàu sang, được"
3,20140603_0003_BCCTC_tg_0_4.png,mọi người nể phục? Vậy thì bạn hãy dành chút thời gian để lặng mình suy ngẫm.
4,20140603_0003_BCCTC_tg_0_5.png,Cuộc sống sẽ chỉ cho bạn có những người đạt được thành công theo một
5,20140603_0003_BCCTC_tg_1_0.png,"Thành công là khi bố và con trai có dũng khí bước vào bếp, nấu những món ăn mẹ"
6,20140603_0003_BCCTC_tg_1_1.png,"thích nhân ngày 8 - 3. Món canh có thể hơi mặn, món cá sốt đáng lẽ phải có màu"
7,20140603_0003_BCCTC_tg_1_2.png,"đỏ sậm thì lại ngả sang màu... đen cháy. Nhưng nhìn mâm cơm, mẹ vẫn cười."
8,20140603_0003_BCCTC_tg_1_3.png,"Bởi vì hai bố con không thể thành công trên "" chiến trường "" bếp núc, nhưng lại thành công"
9,20140603_0003_BCCTC_tg_1_4.png,"khi tặng mẹ "" đoá hồng "" của tình yêu. Một món quà ý nghĩa hơn cả những món"
10,20140603_0003_BCCTC_tg_1_5.png,"quà quý giá, hạnh phúc ấy long lanh in trong mắt mẹ."
11,20140603_0003_BCCTC_tg_2_0.png,"Thành công còn là hình ảnh một cậu bé bị dị tật ở chân, không bao giờ đi lại bình"
12,20140603_0003_BCCTC_tg_2_1.png,thường được. Từ nhỏ cậu đã nuôi ước mơ trở thành cầu thủ bóng đá. Sau bao nỗ lực
13,20140603_0003_BCCTC_tg_2_2.png,"khổ luyện, cậu bé trở thành cầu thủ dự bị trong một đội bóng nhỏ, và chưa bao"
14,20140603_0003_BCCTC_tg_2_3.png,"giờ được chính thức ra sân. Nhưng đó không phải là thất bại. Trái lại, thành công"
15,20140603_0003_BCCTC_tg_2_4.png,"đã nở hoa khi cậu bé năm xưa, với bao nghị lực và quyết tâm, đã chiến thắng"
